O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*1*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O,   /*35*/
O, O, O, O, O, O, I, I, I, I, I, O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O,   /*36*/
O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, I, I, I, I, O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O,   /*37*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O,   /*38*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, O, O, I, I, I, I, O, O, O, O, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, O, O, O,   /*39*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O,   /*31*/
O, O, O, O, O, O, O, I, I, I, I, I, O, O, I, I, I, I, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, O, O, O, O, I, I, I, O, O, O, I, I, I, I, O, O, O, O, O,   /*40*/
O, O, O, O, O, O, O, O, O, I, I, O, O, O, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, O, O, O, O, O,   /*41*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, I, I, I, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, I, I, I, O, O, O, O, O,   /*42*/
O, O, O, O, O, I, I, I, O, O, O, O, O, I, I, I, I, O, O, I, I, I, I, O, O, I, I, I, I, I, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, I, I, O, O, O, O, O,   /*43*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, I, I, I, O, O, O, I, I, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, O,   /*44*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O,   /*45*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, O, O, O, I, I, I, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O,   /*46*/
O, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O,   /*47*/
O, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O, I, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, O, O, O, O, O, O,   /*48*/
O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, O, O, I, I, I, I, I, I, O, O, O, I, I, I, O, O, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O,   /*49*/
O, O, O, O, O, I, I, O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, I, I, I, I, I, I, O, O, I, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O,   /*50*/
O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, O, O, O, I, I, I, I, I, I, O, O, O, O, O,   /*51*/
O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, I, I, O, O, O, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, O, O, O,   /*52*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, O, O, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, O, O, O,   /*53*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, O, I, I, I, I, I, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*54*/
O, O, O, O, O, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, I, I, I, I, O, O, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O,   /*55*/
O, O, O, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, I, I, I, I, O, O, O, I, I, I, I, I, I, I, I, O, O, O, O, O, O,   /*56*/
O, O, O, O, O, O, O, I, I, I, I, I, O, O, O, O, O, O, O, O, O, I, I, I, I, I, I, I, I, I, I, I, O, O, O, O, O, O, O, O, I, I, O, O, O, O, O, I, I, I, I, I, I, O, O, O, O, O, O, O,   /*57*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*58*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*59*/
O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O, O,   /*60*/

/*1,2,3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,24,25,26,27,28,29,40,41,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60*/
